"","Date","Site","Sample.Depth.category","Dissolved.Organic.Carbon.mg.L","Urea.b5g.N.L","Nitrate..Nitrite.mg.N.L","Ammonia.b5g.N.L","Soluble.Reactive.Phosphorus.b5g.P.L","Total.Dissolved.Phosphorus.b5g.P.L","Total.Phosphorus.b5g.P.L","Extracted.Chlorophyll.a.b5g.L","Extracted.Phycocyanin.b5g.L","Dissolved.Microcystin.b5g.L","CTD.Dissolved.Oxygen.mg.L","Photo.active.radiation","Sample.Temperature.b0C","CTD.Temperature.b0C"
"1",2012-05-15,"WE2","Surface",2.88,NA,0.459,10.22,3.23,NA,16.21,3.67,0.28,NA,NA,NA,17.9,NA
"2",2012-05-15,"WE4","Surface",1.8,NA,0.325,28.79,2.02,4.61,8.25,3.05,0.17,NA,NA,NA,16.3,NA
"3",2012-05-15,"WE6","Surface",4.35,NA,0.515,35.7,2.97,9.66,22.52,2.24,0.45,NA,NA,NA,19.3,NA
"4",2012-05-15,"WE8","Surface",2.53,NA,0.513,11.28,3.02,6.01,23.16,5.73,0.52,NA,NA,NA,19,NA
"5",2012-05-31,"WE2","Surface",2.8,NA,0.466,14.68,5.15,12.29,42.01,6.07,0.61,NA,NA,NA,20.7,NA
"6",2012-05-31,"WE4","Surface",1.94,NA,0.323,15.38,0.37,2.53,12.81,4.86,0.31,NA,NA,NA,21.4,NA
"7",2012-05-31,"WE6","Surface",5.83,NA,1.852,19.82,7.03,21.04,77.08,11.81,0.8,NA,NA,NA,22.1,NA
"8",2012-05-31,"WE8","Surface",3.1,NA,0.594,52.14,10.79,18.68,42.54,3.61,0.31,NA,NA,NA,22.5,NA
"9",2012-06-11,"WE2","Surface",3.1,NA,0.451,13.9,0.76,7.86,31.57,23.59,3.87,NA,NA,NA,21.7,NA
"10",2012-06-11,"WE4","Surface",1.93,NA,0.268,1.91,NA,3.38,9.35,5.3,0.31,NA,NA,NA,20.1,NA
"11",2012-06-22,"WE2","Surface",2.48,NA,0.337,23.44,2.62,8.02,23.11,5.02,0.29,NA,NA,NA,23.6,NA
"12",2012-06-22,"WE4","Surface",1.98,NA,0.19,2.28,0.31,3.91,15.5,17.57,0.65,NA,NA,NA,24.2,NA
"13",2012-06-22,"WE6","Surface",4.07,NA,0.192,2.61,0.36,5.53,15.19,2.43,0.37,NA,NA,NA,25.6,NA
"14",2012-06-22,"WE8","Surface",2.92,NA,0.447,43.12,9.55,17.85,26.61,2.21,0.16,NA,NA,NA,24.4,NA
"15",2012-07-12,"WE2","Surface",3.62,NA,0.157,10.01,1.09,9.07,56.62,25.41,3.23,NA,NA,NA,26.6,NA
"16",2012-07-12,"WE4","Surface",2.47,NA,0.153,4.77,0.62,5.31,15.5,4.2,0.95,NA,NA,NA,26.2,NA
"17",2012-07-12,"WE6","Surface",3.22,NA,NA,1.16,0.27,5.88,44.86,29.05,2.57,NA,NA,NA,26,NA
"18",2012-07-12,"WE8","Surface",2.86,NA,0.065,4.85,0.35,7.69,29.41,14.95,2.06,NA,NA,NA,26.7,NA
"19",2012-07-23,"WE2","Surface",3.29,NA,0.01,12.82,15.56,25.05,60.98,16.52,2.81,NA,NA,NA,26.2,NA
"20",2012-07-23,"WE4","Surface",NA,NA,0.031,7.31,2.34,10.13,39,18.75,4.68,NA,NA,NA,26.6,NA
"21",2012-07-23,"WE6","Surface",4.03,NA,0.046,4.54,23.09,35.36,95.28,36.38,9.44,NA,NA,NA,26.2,NA
"22",2012-07-23,"WE8","Surface",NA,NA,0.019,17.67,10.41,19.68,41.92,12.65,4.53,NA,NA,NA,26.3,NA
"23",2012-07-27,"WE4","Surface",NA,NA,0.062,16.61,0.28,NA,NA,13.89,14.31,NA,NA,NA,NA,NA
