"","Depth_category","Temp","DO","MC","Chla","PC"
"1","Surface",10.38696522,10.29489565,0.25,8.125,0.53
"2","Bottom",9.871666667,8.384847619,0.11,5.24875,0.17
"3","Surface",8.235836364,11.10985455,NA,2.3985,0.11
"4","Surface",13.95994783,9.697430435,0.2,56.55,10.15
"5","Surface",10.38652083,10.07883333,0.13,2.76575,0.24
"6","Bottom",10.35664091,7.264327273,0.15,2.62925,0.1
"7","Surface",12.64350909,9.809927273,NA,45.3375,3.67
"8","Surface",10.07885909,10.36527727,0.17,14.3325,0.38
"9","Bottom",9.6043,7.564377778,0.25,4.8815,0.24
"10","Surface",8.76807619,10.78328095,0.21,4.25425,0.12
"11","Bottom",8.329452381,8.508485714,0.21,3.51325,0.09
"12","Surface",9.799557143,10.22204286,0.24,4.38425,0.11
"13","Surface",17.99029286,8.541657143,NA,5.655,NA
"14","Bottom",17.6356,7.901615,NA,4.91075,0.17
"15","Surface",15.78377727,9.334959091,0.12,3.77325,0.12
"16","Surface",18.47655769,9.466576923,0.11,99.9375,1.08
"17","Surface",17.13122308,9.638107692,NA,3.230435,NA
"18","Bottom",17.108332,7.209832,NA,3.5165,0.03
"19","Surface",19.088896,7.850852,NA,37.1475,0.65
"20","Surface",18.18184615,8.546338462,0.18,30.42,0.17
"21","Bottom",17.99082083,8.642029167,NA,30.590625,0.15
"22","Surface",20.93665652,7.948778261,NA,13.58487,0.1419606
"23","Bottom",20.28261212,7.180872727,NA,3.97137,0.01863
"24","Surface",19.27721765,8.623135294,NA,3.02237,0.07908435
"25","Surface",21.32822917,8.542016667,0.15,55.817775,0.6764553
"26","Surface",20.53268947,8.170415789,NA,48.749025,0.488106
"27","Bottom",20.52028,7.980623333,NA,46.555275,0.3437235
"28","Surface",21.9198375,7.013833333,0.15,56.695275,1.6265853
"29","Surface",20.56092174,7.463308696,NA,3.23687,NA
"30","Bottom",20.36864615,6.764292308,NA,2.92487,NA
"31","Surface",19.68184545,8.003863636,NA,4.37437,NA
"32","Bottom",19.53223226,7.734206452,NA,3.62687,NA
"33","Surface",20.40238846,7.457673077,NA,2.79487,NA
"34","Surface",23.27526207,7.123924138,0.16,3.3735,0.2
"35","Bottom",22.21354286,6.214653571,0.13,3.432,0.18
"36","Surface",21.00773846,8.284,0.17,4.628,0.19
"37","Surface",23.9006,6.298369231,0.2,10.8745,0.72
"38","Surface",22.3756381,7.392995238,0.22,2.444,0.17
"39","Bottom",22.38772632,6.651473684,0.12,1.8525,0.48
"40","Surface",24.304872,5.391376,0.21,18.59,0.4
"41","Surface",22.86987308,6.9292,0.31,9.2105,0.44
"42","Bottom",22.36098077,5.699630769,0.2,8.3005,0.17
"43","Surface",21.58029,7.73343,0.13,3.4775,2
"44","Bottom",21.22991429,7.114919048,0.19,1.976,NA
"45","Surface",22.33348636,6.902286364,0.23,3.289,NA
"46","Surface",24.205485,7.556125,NA,11.58,NA
