Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_knots,Wave_Ht_ft,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1
4/25/2022,WE2,5.465,0.75,Surface,13:22,13:42,41.7621,-83.33005,5.053984,nd,raining,0.5,10.38696522,315.7323043,9.311443478,9.754208696,10.29489565,248.0673913,16.2,bdl,0.25,0.53,8.125,,
4/25/2022,WE2,,4.7,Bottom,,,,,,,,,9.871666667,312.3959048,7.099747619,17.00201429,8.384847619,0.165403191,ns,bdl,0.11,0.17,5.24875,,
4/25/2022,WE4,8.348,0.75,Surface,9:32,9:58,41.82661667,-83.19513333,5.053984,nd,overcast,2,8.235836364,251.5415,1.700704545,65.36552727,11.10985455,188.5345455,2.98,bdl,bdl,0.11,2.3985,,
4/25/2022,WE6,2.752,0.75,Surface,12:25,12:41,41.705,-83.3855,2.91576,nd,raining,0.5,13.95994783,568.429087,9.159595652,10.12876957,9.697430435,185.9716087,14.6,bdl,0.2,10.15,56.55,,
4/25/2022,WE8,4.908,0.75,Surface,8:33,9:03,41.83435,-83.35928333,9.913584,nd,overcast,1.25,10.38652083,355.48975,2.4531375,54.1569125,10.07883333,36.61895833,5.72,bdl,0.13,0.24,2.76575,,
4/25/2022,WE8,,4.2,Bottom,,,,,,,,,10.35664091,354.5576364,2.106868182,59.1024,7.264327273,1.759431818,ns,bdl,0.15,0.1,2.62925,,
4/25/2022,WE9,2.546,0.75,Surface,12:51,12:59,,,6.025904,nd,,0.5,12.64350909,517.1408182,9.542304545,9.203686364,9.809927273,149.4297273,16.5,bdl,bdl,3.67,45.3375,,
4/25/2022,WE12,6.495,0.75,Surface,11:39,11:59,41.70275,-83.25438333,4.082064,nd,overcast,,10.07885909,337.4995909,6.756140909,18.46993182,10.36527727,250.1504545,12,bdl,0.17,0.38,14.3325,,
4/25/2022,WE12,,6,Bottom,,,,,,,,,9.6043,317.3366667,8.524566667,11.87047778,7.564377778,0.095102222,ns,bdl,0.25,0.24,4.8815,,
4/25/2022,WE13,8.818,0.75,Surface,10:19,10:39,41.74408333,-83.1369,2.91576,nd,overcast,2.5,8.76807619,279.9129524,1.391538095,70.61852857,10.78328095,168.5938095,2.37,bdl,0.21,0.12,4.25425,,
