Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_knots,Wave_Ht_ft,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1
6/9/2022,SB1,3.905,0.75,Surface,13:58,14:20,43.6451,-83.66073333,,,clear,3.1,19.45258333,372.9594167,1.728216667,65.29,8.3551,424.9325,1.41,bdl,0.12,0.8195337,6.48687
6/9/2022,SB1,,3,Bottom,,,,,,,,,19.41278,372.1322,1.83461,63.25303,7.85988,86.7125,ns,0.19,bdl,1.05045255,7.61137
6/9/2022,SB2,3.92,0.75,Surface,15:17,15:40,43.66728333,-83.80705,,,clear,1.6,19.8048,504.9369091,1.953727273,61.35908182,7.440372727,1550.518182,3.45,0.1,0.2,0.2319435,4.13387
6/9/2022,SB2,,3,Bottom,,,,,,,,,19.76869091,505.0128182,1.909818182,62.04982727,6.017554545,139.1618182,ns,bdl,0.21,0.3059046,3.76987
6/9/2022,SB4,3.253,0.75,Surface,10:07,10:57,43.73778333,-83.87681667,,,clear,4,18.52329091,344.7605455,0.294609091,92.89972727,9.053263636,1740.672727,2.5,bdl,0.2,1.58699655,9.47687
6/9/2022,SB5,6.203,0.75,Surface,11:36,12:08,43.89666667,-83.86153333,,,clear,bottom,18.5229375,345.7823125,1.26191875,72.94404375,8.1715875,1365.658125,0.374,bdl,bdl,0.0292491,0.76167
6/9/2022,SB14,3.89,0.75,Surface,13:02,13:34,43.73833333,-83.64031667,,,clear,4.1,18.96946875,331.4203125,0.9620875,78.62179375,8.21674375,1374.909375,1.69,bdl,bdl,0.3686877,5.14137
6/23/2022,SB1,4.11,0.75,Surface,14:12,14:25,43.64623333,-83.66265,,,clear,0.7,23.28380777,378.4015803,7.675311399,14.8145114,8.108716062,716.7230052,6.27,0.47,bdl,3.77,22.81
6/23/2022,SB1,,3,Bottom,,,,,,,,,23.41698182,380.0530455,6.680595455,18.99964545,8.753822727,43.58368182,ns,2.89,0.12,4.77,64.54
6/23/2022,SB2,4.16,0.75,Surface,15:14,15:25,43.66875,-83.80638333,,,clear,2,23.7943575,376.9723833,2.43169,54.45297417,7.78314,1282.248833,3.37,0.24,bdl,1.23,11.5
6/23/2022,SB2,,3,Bottom,,,,,,,,,23.44877692,375.3143846,2.501646154,53.50517692,7.696946154,300.0546154,ns,0.44,bdl,2.29,14.69
6/23/2022,SB4,6.39,0.75,Surface,11:12,11:30,43.73893333,-83.87376667,,,clear,2,22.09445385,308.956,5.174023077,35.7378,8.650792308,1413.447692,1.82,bdl,0.15,2.7,10.78
6/23/2022,SB5,3.48,0.75,Surface,12:24,12:41,43.89568333,-83.85875,,,clear,bottom,22.21099,304.7803176,0.684442353,84.27314765,7.283055882,1840.189412,0.571,0.12,bdl,10.5,3.77
6/23/2022,SB14,3.82,0.75,Surface,13:35,13:48,43.739,-83.64248333,,,clear,1.5,22.72641314,363.1729781,2.90340292,48.39251825,8.173378832,1157.251971,3.36,0.31,bdl,1,17.55
7/7/2022,SB1,3.788,0.75,Surface,11:42,12:05,43.64015,-83.66123333,,,cloudy,0.75,24.06416667,372.1548095,5.382428571,26.03874762,8.18082381,587.1966667,7.02,1.29,0.11,3.77,21.26
7/7/2022,SB1,,3,Bottom,,,,,,,,,23.690325,374.60675,7.80395,14.218275,7.88785,35.78725,ns,0.97,0.12,4.77,29.51
7/7/2022,SB2,3.874,0.75,Surface,12:30,12:45,43.6672,-83.80708333,,,cloudy,1.5,23.69762857,298.4225714,3.527585714,41.6364,8.004871429,1648.057143,3.05,0.56,0.19,1.23,12.49
7/7/2022,SB2,,3,Bottom,,,,,,,,,23.26688,297.6896,3.76722,38.99346,7.47188,228.582,ns,0.45,0.17,2.29,21.19
7/7/2022,SB4,6.294,0.75,Surface,8:52,9:22,43.73811667,-83.87675,,,cloudy,1,23.07993333,304.93,4.631833333,31.41586667,8.264366667,300.8566667,6.38,0.84,bdl,2.7,23.73
7/7/2022,SB5,3.538,0.75,Surface,9:52,10:20,43.8955,-83.8605,,,cloudy,1.25,22.60797143,292.1282857,3.049885714,46.65177143,8.6774,1307.471429,2.81,0.42,0.16,10.5,18.79
7/7/2022,SB14,3.757,0.75,Surface,10:55,11:15,43.73873333,-83.64071667,,,cloudy,1.5,23.44715,297.25825,2.297225,56.31185,6.666125,623.465,2.5,0.16,0.23,1,12.29
7/22/2022,SB1,3.17,0.75,Surface,11:12,11:36,43.6415,-83.66123333,,,clear,1.7,25.19746422,327.6567255,6.162217647,21.42721324,6.894171078,1860.986275,7.67,0.93,0.32,8.41,25.03
7/22/2022,SB1,,3,Bottom,,,,,,,,,24.60935,334.8186667,6.5425,19.48358333,7.9785,83.49233333,ns,0.89,0.23,8.06,25.22
7/22/2022,SB2,3.81,0.75,Surface,11:57,,43.66695,-83.80405,,,clear,2,25.61920763,319.3057634,5.314710687,26.48913282,6.900524427,866.5174809,6.49,0.4,0.25,12.46,24.18
7/22/2022,SB2,,3,Bottom,,,,,,,,,24.47042,312.417,5.79324,23.49686,7.93612,95.3328,ns,1.09,0.19,11.78,25.68
7/22/2022,SB4,6.13,0.75,Surface,8:18,8:47,43.738,-83.87686667,,,clear,1.3,23.79851818,293.1942727,3.396645455,42.77782727,6.906990909,273.7236364,4.4,0.33,0.1,10.26,19.05
7/22/2022,SB5,3.28,0.75,Surface,9:24,9:46,43.8959,-83.86086667,,,clear,1,24.16352857,293.4635,4.9231,29.20681429,7.101557143,1147.724286,5.11,0.59,0.24,14.43,26.85
7/22/2022,SB14,3.85,0.75,Surface,10:32,10:51,43.73845,-83.64003333,,,clear,1.7,23.99788605,282.6127093,2.867846512,48.82396279,6.906726744,1655.44186,3.26,0.41,0.28,6.83,14.95
8/4/2022,SB1,3.742,0.75,Surface,12:07,12:30,43.63988333,-83.66143333,,,overcast,1.2,23.56876,280.1017,5.33756,26.33484,7.656795,1745.505,6.54,0.33,0.23,8.17,18.98
8/4/2022,SB1,,3,Bottom,,,,,,,,,22.94591538,280.1196923,5.896484615,22.90095385,6.967346154,129.6346154,ns,1.01,0.19,10.86,ns
8/4/2022,SB2,3.804,0.75,Surface,12:57,13:19,43.6674,-83.80715,,,clear,2,22.923125,252.6405,2.824,49.362475,7.28035,1694.975,2.79,0.22,0.37,4.09,8
8/4/2022,SB2,,3,Bottom,,,,,,,,,22.39464167,253.1015,3.063125,46.49934167,7.112833333,487.5941667,ns,0.21,0.24,4.52,11.92
8/4/2022,SB4,6.271,0.75,Surface,8:47,,43.73803333,-83.87726667,,,overcast,1.4,22.52022,29.9902,3.17209,45.24788,8.4882,386.084,3.43,0.54,0.22,7.04,15.6
8/4/2022,SB5,3.526,0.75,Surface,9:52,,43.89656667,-83.86068333,,,clear,1.8,22.65575556,257.0185556,2.865911111,48.84741111,7.878366667,1371.822222,2.51,0.72,0.21,7.02,15.41
8/4/2022,SB14,3.857,0.75,Surface,11:19,11:47,43.73833333,-83.63993333,,,clear,2.4,22.59333333,250.87275,2.215775,57.4681,7.7684,1653.45,1.72,0.18,0.18,2.78,9.22
8/18/2022,SB1,3.677,0.75,Surface,12:03,12:50,43.64021667,-83.66148333,,,clear,0.6,24.26157,315.5082,5.3428,26.29803,8.03278,1625.34,7.5,0.33,0.16,2.12,11.53
8/18/2022,SB1,,3,Bottom,,,,,,,,,23.12933333,317.2092222,6.527011111,19.55941111,7.112055556,198.9644444,ns,0.25,bdl,3.79,12.35
